Name,Razon_Social__c,Segmento_por_tipo_de_cliente__c,Segmento_por_frecuencia_de_compra__c,Direcciones_puntos_de_venta__c,Región,Phone,Industria,BillingStreet,BillingCity,BillingState,Region_de_facturacion__c,Region_de_envio__c,Ciudad_facturacion__c,Ciudad_envio__c
Actitud Sana Spa,Actitud Sana Spa,TRADICIONAL,FIEL,Santiago,Metropolitana de Santiago,56934419480,Alimentación Saludable,Irarrazaval 5595 local 2,Ñuñoa,Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Santiago,Santiago
ALDEA NATIVA SPA,ALDEA NATIVA SPA,TRADICIONAL,FIEL,Santiago,Metropolitana de Santiago,569 66132044,Alimentación Saludable,Manquehue Norte 1960,Vitacura,Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Santiago,Santiago
BARBARA DIAZ RIVERA SPA,BARBARA DIAZ RIVERA SPA,TRADICIONAL,OCASIONAL,Copiapó,De Atacama,569 88646111,Alimentación Saludable,JUAN MARTINEZ 195,copiapó,Copiapo,De Atacama,De Atacama,Copiapo,Copiapo
BIKU FARMA SPA,BIKU FARMA SPA,TRADICIONAL,OCASIONAL,Santiago,Metropolitana de Santiago,56 9 39592944,Alimentación Saludable,Balmoral 309 LC 201 SB 2 EDIF 2,Las Condes,Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Santiago,Santiago
Casa turquesa malvarrosa spa,Casa turquesa malvarrosa spa,TRADICIONAL,NUEVO,Maitencillo,De Valparaíso,2 2758 9490,Alimentación Saludable,Av. Ortuzar 250,Ñuñoa,Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Santiago,Santiago
COMERCIAL ANGELICA TORO MAZUELA,COMERCIAL ANGELICA TORO MAZUELA,TRADICIONAL,OCASIONAL,Los Vilos,De Coquimbo,994 150 723,Alimentación Saludable,Caupolicán 611,Los Vilos,Los Vilos,De Coquimbo,De Coquimbo,Los Vilos,Los Vilos
Comercial AYA Spa,Comercial AYA Spa,TRADICIONAL,FIEL,Santiago,Metropolitana de Santiago,956297007,Alimentación Saludable,"Manquehue Norte 151, local 101",Las Condes,Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Santiago,Santiago
COMERCIAL CAJALUZ LIMITADA,COMERCIAL CAJALUZ LIMITADA,TRADICIONAL,OCASIONAL,Antofagasta,De Antofagasta,56 9 8288 3173,Alimentación Saludable,San Martin 2326 3,Antofagasta,Antofagasta,De Antofagasta,De Antofagasta,Antofagasta,Antofagasta
COMERCIAL RINCÓN NATURAL SPA,COMERCIAL RINCÓN NATURAL SPA,TRADICIONAL,FIEL,Santiago,Metropolitana de Santiago,977928776,Alimentación Saludable,Santa Isabel 0395B,Providencia,Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Santiago,Santiago
COMERCIAL RINCON VEGANO LIMITADA,COMERCIAL RINCON VEGANO LIMITADA,TRADICIONAL,NUEVO,Chillán,De Ñuble,,Alimentación Saludable,ISABEL RIQUELME # 510,chillán,Chillan,De Ñuble,De Ñuble,Chillan,Chillan
comercializadora de alimentos David Enrique Maldonado Yanten E.I.R.L,comercializadora de alimentos David Enrique Maldonado Yanten E.I.R.L,TRADICIONAL,FIEL,Rancagua,Del Libertador B. O'Higgins,9 59806119,Alimentación Saludable,Av San Lorenzo 765 Nelson Pereira,Rancagua,Rancagua,Del Libertador B. O'Higgins,Del Libertador B. O'Higgins,Rancagua,Rancagua
Comercializadora de productos alimenticios y deportivos Clau,Comercializadora de productos alimenticios y deportivos Clau,TRADICIONAL,OCASIONAL,Lebu,Del Bíobío,966990850,Alimentación Saludable,"Nahuel 705, Cumbres de Andalue",San Pedro de la Paz,Concepcion,Del Bíobío,Del Bíobío,Concepcion,Concepcion
"COMERCIALIZADORA DE PRODUCTOS NUTRICIONALES, ANTROPOME?TRICOS Y DEPORTIVOS NUTRASALUD STORE LIMITADA","COMERCIALIZADORA DE PRODUCTOS NUTRICIONALES, ANTROPOME?TRICOS Y DEPORTIVOS NUTRASALUD STORE LIMITADA",TRADICIONAL,OCASIONAL,La Serena,De Coquimbo,+56 989297338,Alimentación Saludable,Amunategui 489,La Serena,La Serena,De Coquimbo,De Coquimbo,La Serena,La Serena
Comercializadora de productos sanos y nutritivos limitada,Comercializadora de productos sanos y nutritivos limitada,TRADICIONAL,OCASIONAL,Coquimbo,De Coquimbo,944312288,Alimentación Saludable,Maximiliano Errazuriz Valdieso #1451,Coquimbo,Coquimbo,De Coquimbo,De Coquimbo,Coquimbo,Coquimbo
Comercializadora JyP SPA,Comercializadora JyP SPA,TRADICIONAL,OCASIONAL,Santiago,Metropolitana de Santiago,056 2 3245 0502,Alimentación Saludable,Manuel Montt 2559 local 8,Ñuñoa,Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Santiago,Santiago
DELLANATURA SOCIEDAD ANONIMA,DELLANATURA SOCIEDAD ANONIMA,ESTRATÉGICO,FIEL,Santiago,Metropolitana de Santiago,229296864,Alimentación Saludable,Av. Vitacura 6255 Local 33,Vitacura,Vitacura,Metropolitana de Santiago,Metropolitana de Santiago,Vitacura,Vitacura
Eco food house spa,Eco food house spa,TRADICIONAL,FIEL,Santiago,Metropolitana de Santiago,56 993967797,Alimentación Saludable,La Concepción 167,Providencia,Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Santiago,Santiago
El Reino Granel SPA,El Reino Granel SPA,TRADICIONAL,FIEL,Concepción,Del Bíobío,56965093503,Alimentación Saludable,"Camino al Venado 1260 Local 15, Andalue",San Pedro de la Paz,Concepción,Del Bíobío,Del Bíobío,Concepción,Concepción
Empresa de Productos Saludables SpA,Empresa de Productos Saludables SpA,TRADICIONAL,FIEL,Santiago,Metropolitana de Santiago,2 2924 3226,Alimentación Saludable,"Avenida del Parque 5275, Oficina 405",Huechuraba,Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Santiago,Santiago
G Conexión Spa,G Conexión Spa,TRADICIONAL,FIEL,Santiago,Metropolitana de Santiago,+56 9 3633 9475,Alimentación Saludable,Los Talaveras 45 local 03,Ñuñoa,Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Santiago,Santiago
HINRICHSEN Y ALFSEN SPA,HINRICHSEN Y ALFSEN SPA,ESTRATÉGICO,FIEL,Santiago,Metropolitana de Santiago,56996155498,Alimentación Saludable,"Las parcelas 7950, galpon c1",Peñalolén,Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Santiago,Santiago
Inversiones Santos y Santos Spa,Inversiones Santos y Santos Spa,TRADICIONAL,FIEL,Santiago,Metropolitana de Santiago,56 9 9343 1129,Alimentación Saludable,Sanchez Fontecilla 534,Las Condes,Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Santiago,Santiago
Inversiones y Servicios Macri SpA,Inversiones y Servicios Macri SpA,TRADICIONAL,FIEL,La Serena,De Coquimbo,632411787,Alimentación Saludable,Pje Jorge Cortes 2979,La Serena,La Serena,De Coquimbo,De Coquimbo,La Serena,La Serena
La Nou compra y ventas de alimentos naturales Limitada,La Nou compra y ventas de alimentos naturales Limitada,TRADICIONAL,OCASIONAL,Santiago,Metropolitana de Santiago,+569 79490402,Alimentación Saludable,Fidel Pinochet 1151,San Bernardo,Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Santiago,Santiago
La Planta Alimentos SPA,La Planta Alimentos SPA,TRADICIONAL,NUEVO,Santiago,Metropolitana de Santiago,,Alimentación Saludable,"O'Carrol 222, Local 2",Las Condes,Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Santiago,Santiago
LA RAIZ SPA,LA RAIZ SPA,TRADICIONAL,FIEL,Santiago,Metropolitana de Santiago,2 2758 9490,Alimentación Saludable,Av. Consistorial 2701 C1,Peñalolén,Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Santiago,Santiago
