Name,AccountId,Type,CloseDate,Stage,Amount,NextStep
11693,,Existing Business,04/01/2021,Ganada,45101,
11771,0018Z00002hBxvjQAC,Existing Business,05/01/2021,Ganada,51912,
11721,,Existing Business,04/01/2021,Ganada,45292,
11709,,Existing Business,04/01/2021,Ganada,103824,
11690,,Existing Business,04/01/2021,Ganada,115284,
11683,,Existing Business,04/01/2021,Ganada,56992,
11776,,Existing Business,05/01/2021,Ganada,130269,
11787,,Existing Business,05/01/2021,Ganada,1279362,
11784,,Existing Business,05/01/2021,Ganada,100753,
11769,0018Z00002hBxx0QAC,Existing Business,05/01/2021,Ganada,120813,
11911,,Existing Business,12/01/2021,Ganada,51912,
11706,,Existing Business,04/01/2021,Ganada,129209,
11872,,Existing Business,08/01/2021,Ganada,51912,
11704,,Existing Business,04/01/2021,Ganada,51912,
11783,,Existing Business,05/01/2021,Ganada,51912,
11886,,Existing Business,11/01/2021,Ganada,51425,
11710,,Existing Business,04/01/2021,Ganada,173040,
11893,0018Z00002hBxvrQAC,Existing Business,11/01/2021,Ganada,86520,
11711,,Existing Business,04/01/2021,Ganada,103824,
11795,,Existing Business,06/01/2021,Ganada,544776,
11802,,Existing Business,06/01/2021,Ganada,69609,
11714,,Existing Business,04/01/2021,Ganada,259560,
11943,,Existing Business,12/01/2021,Ganada,53944,
11808,,Existing Business,07/01/2021,Ganada,252189,
11794,0018Z00002hBxvxQAC,Existing Business,06/01/2021,Ganada,81104,
11898,,Existing Business,11/01/2021,Ganada,56352,
11837,,Existing Business,08/01/2021,Ganada,1296936,
11839,,Existing Business,08/01/2021,Ganada,99236,
11903,,Existing Business,11/01/2021,Ganada,77868,
11921,,Existing Business,12/01/2021,Ganada,51912,
11814,,Existing Business,07/01/2021,Ganada,132607,
11812,,Existing Business,07/01/2021,Ganada,61580,
11772,,Existing Business,05/01/2021,Ganada,94148,
11879,,Existing Business,11/01/2021,Ganada,55372,
11720,,Existing Business,04/01/2021,Ganada,332246,
11933,,Existing Business,12/01/2021,Ganada,434872,
11892,,Existing Business,11/01/2021,Ganada,57180,
11816,,Existing Business,07/01/2021,Ganada,622968,
11806,0018Z00002hBxxGQAS,Existing Business,07/01/2021,Ganada,77868,
11790,,Existing Business,06/01/2021,Ganada,55976,
11716,,Existing Business,04/01/2021,Ganada,103824,
11891,0018Z00002hBxw1QAC,Existing Business,11/01/2021,Ganada,218753,
11804,,Existing Business,07/01/2021,Ganada,51912,
11809,,Existing Business,07/01/2021,Ganada,51912,
11770,,Existing Business,05/01/2021,Ganada,60564,
11689,,Existing Business,04/01/2021,Ganada,114696,
11785,,Existing Business,05/01/2021,Ganada,50808,
11715,,Existing Business,04/01/2021,Ganada,126396,
11896,,Existing Business,11/01/2021,Ganada,69216,
11792,,Existing Business,06/01/2021,Ganada,64713,
11688,0018Z00002hBy8cQAC,Existing Business,04/01/2021,Ganada,346080,
11900,0018Z00002hBy8cQAC,Existing Business,11/01/2021,Ganada,85546,
11901,0018Z00002hBy8cQAC,Existing Business,11/01/2021,Ganada,346080,
11877,,Existing Business,11/01/2021,Ganada,69216,
11773,,Existing Business,05/01/2021,Ganada,94181,
11807,0018Z00002hBxw3QAC,Existing Business,07/01/2021,Ganada,344352,
11707,,Existing Business,04/01/2021,Ganada,269740,
11897,,Existing Business,11/01/2021,Ganada,519919,
11925,,Existing Business,12/01/2021,Ganada,50938,
11803,0018Z00002hBxw4QAC,Existing Business,06/01/2021,Ganada,94488,
11818,,Existing Business,07/01/2021,Ganada,63612,
11767,,Existing Business,05/01/2021,Ganada,270490,
11799,,Existing Business,06/01/2021,Ganada,73280,
11695,,Existing Business,04/01/2021,Ganada,55273,
11840,,Existing Business,08/01/2021,Pendiente,73280,
11798,,Existing Business,06/01/2021,Ganada,534432,
11800,,Existing Business,06/01/2021,Ganada,28176,
11786,,Existing Business,05/01/2021,Ganada,118948,
11894,,Existing Business,11/01/2021,Ganada,51912,
11875,,Existing Business,08/01/2021,Ganada,60564,
